Series Name,Country,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Capital health expenditure (% of GDP),Albania,..,..,..,..,..,..,..,..,..,..,0.00518756,0.00692166,0.00720728,0.01154849,0.0680534,0.01653893,0.06049946,0.02899968,0.32599965,0.37091237,0.44173938,0.36221075,0.20385486,0.14006858,0.14262114,0.13107376,0.14689514,0.14722906,0.16765136,..,..,..,..
Capital health expenditure (% of GDP),Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01103354,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.17567375,0.15879986,0.13449579,0.06903902,0.05238036,0.04990563,0.07309079,0.11930761,0.14139073,0.10919669,0.06971787,0.10289453,..,..,..
Capital health expenditure (% of GDP),Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,0.05830915,0.06740125,0.05455946,0.07071366,0.03797652,0.06620325,0.02528443,0.06844158,0.0660577,0.07154207,0.01508358,0.01308057,0.03277269,..,..,0.04921389,0.14435445,0.00550222,0.02265624,0.02125437,0.00856461,..,..
Capital health expenditure (% of GDP),Argentina,..,..,..,..,..,..,..,..,..,..,..,0.00282551,0.00289711,0.01465814,0.02900673,0.01975768,0.01338378,0.01735669,0.02163509,0.03708528,0.02510831,0.02983253,0.02435402,0.03883833,0.03190604,0.0230072,0.03173462,0.00970424,..,..,..,..,..
Capital health expenditure (% of GDP),Armenia,..,..,..,..,..,..,..,..,..,..,0.26703176,0.17561361,0.16161799,0.19801274,0.35525134,0.4875426,0.68489075,0.79325992,0.39324841,0.50976384,0.17675264,0.14788459,0.07132375,0.03661397,0.07182167,0.10058226,0.14318842,0.06770249,0.02918381,0.03048215,0.05976043,..,..
Capital health expenditure (% of GDP),Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Capital health expenditure (% of GDP),Australia,..,..,..,..,..,..,..,..,..,..,0.46583152,0.47337034,0.49550521,0.41798702,..,..,..,..,..,..,..,..,..,0.57014507,0.58936793,0.6155858,0.72001898,0.5034349,0.53678674,0.56263465,..,..,..
Capital health expenditure (% of GDP),Austria,..,..,..,..,..,..,..,..,..,..,0.61900604,0.5594148,0.59416533,0.6227321,0.626028,0.63117301,0.58508736,0.62098271,0.63839525,0.6615895,0.69369966,0.69619656,0.76213425,0.7328735,0.75300872,0.75837767,0.76080579,0.76645702,0.72154313,0.67126405,0.80341887,0.76973218,..
Capital health expenditure (% of GDP),Azerbaijan,..,..,..,..,..,..,..,..,..,..,0.82662147,0.79006773,0.74220681,0.57366729,0.5861665,0.47113311,0.0282727,0.02679736,0.02690784,0.09100612,0.42623338,0.2188856,0.26486921,0.17874944,0.30331784,0.18573005,0.22341746,0.14217067,0.18254007,0.16484322,..,..,..
Capital health expenditure (% of GDP),Bahamas,..,..,..,..,..,..,..,..,..,..,0.08110451,0.06423935,0.02691872,0.08357196,0.02880158,0.06955308,0.11031685,0.08116662,0.16351984,0.12833805,0.08300258,0.04522225,0.03459142,0.02123098,..,..,..,..,0.07820242,0.08885519,0.12182075,..,..
Capital health expenditure (% of GDP),Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
